Name,Team,Position,Rank,ADP,ADP Differential,Week 17,Week 16,Week 15,Division,Exposure
Luke McCaffrey,WAS,WR,204,192.9,-11.1,ATL,PHI,NO,NFC EAST,0.0
Tyrone Tracy,NYG,RB,205,191.0,-14.0,IND,ATL,BAL,NFC EAST,0.0
Jalen Nailor,MIN,WR,206,219.5,13.5,GB,SEA,CHI,NFC NORTH,0.0
D.J. Chark,LAC,WR,207,218.8,11.8,NE,DEN,TB,AFC WEST,0.0
Quentin Johnston,LAC,WR,208,186.8,-21.2,NE,DEN,TB,AFC WEST,4.0
Trey Sermon,IND,RB,209,227.1,18.1,NYG,TEN,DEN,AFC SOUTH,0.0
Roman Wilson,PIT,WR,210,225.2,15.2,KC,BAL,PHI,AFC NORTH,4.0
Kalif Raymond,DET,WR,211,227.3,16.3,SF,CHI,BUF,NFC NORTH,0.0
Ray-Ray McCloud,ATL,WR,212,226.8,14.8,WAS,NYG,LV,NFC SOUTH,0.0
Michael Mayer,LV,TE,213,228.4,15.4,NO,JAX,ATL,AFC WEST,4.0
Theo Johnson,NYG,TE,214,224.5,10.5,IND,ATL,BAL,NFC EAST,0.0
Dawson Knox,BUF,TE,215,222.7,7.7,NYJ,NE,DET,AFC EAST,4.0
Daniel Jones,NYG,QB,216,191.3,-24.7,IND,ATL,BAL,NFC EAST,8.0
Allen Lazard,NYJ,WR,217,220.0,3.0,BUF,LAR,JAX,AFC EAST,4.0
Will Shipley,PHI,RB,218,218.5,0.5,DAL,WAS,PIT,NFC EAST,0.0
Dameon Pierce,HOU,RB,219,212.2,-6.8,BAL,KC,MIA,AFC SOUTH,16.0
Cedrick Wilson,NO,WR,220,228.4,8.4,LV,GB,WAS,NFC SOUTH,0.0
Jamaal Williams,NO,RB,221,218.9,-2.1,LV,GB,WAS,NFC SOUTH,0.0
Elijah Moore,CLE,WR,222,225.3,3.3,MIA,CIN,KC,AFC NORTH,4.0
Tre Tucker,LV,WR,223,226.2,3.2,NO,JAX,ATL,AFC WEST,0.0
Malik Washington,MIA,WR,224,215.4,-8.6,CLE,SF,HOU,AFC EAST,0.0
Jauan Jennings,SF,WR,225,224.8,-0.2,DET,MIA,LAR,NFC WEST,0.0
Treylon Burks,TEN,WR,226,228.9,2.9,JAX,IND,CIN,AFC SOUTH,0.0
Mike Gesicki,CIN,TE,227,206.1,-20.9,DEN,CLE,TEN,AFC NORTH,0.0
Devontez Walker,BAL,WR,228,228.3,0.3,HOU,PIT,NYG,AFC NORTH,12.0
Greg Dulcich,DEN,TE,229,212.9,-16.1,CIN,LAC,IND,AFC WEST,0.0
Russell Wilson,PIT,QB,230,208.8,-21.2,KC,BAL,PHI,AFC NORTH,8.0
Jonathan Mingo,CAR,WR,231,228.5,-2.5,TB,ARI,DAL,NFC SOUTH,0.0
Justice Hill,BAL,RB,232,195.7,-36.3,HOU,PIT,NYG,AFC NORTH,0.0
Tucker Kraft,GB,TE,233,225.6,-7.4,MIN,NO,SEA,NFC NORTH,0.0
